"Exercise","Primary Muscles","Secondary Muscles","Type","Equipment","Level","Body Region","Movement","Modality","Steps for Beginners","Advanced Key Points","Scientific Reference","Sports Tags","ExRx Video","JEFIT Video","CoachWhitt Video"
"Farmer's Walk (Heavy)","Finger Flexors, Wrist Flexors, Brachioradialis","Forearm Extensors, Traps, Core","Compound","Heavy Dumbbells or Farmer's Walk Handles","Intermediate","Upper","Pull","Free Weight","1. Grip heavy weights 2. Walk with straight posture 3. Squeeze handles hard 4. Walk for distance or time 5. Maintain grip","1. Functional grip strength 2. Total body exercise 3. Crush grip emphasis 4. Heavy loads beneficial 5. Competition strongman event","McGill SM et al. (2003). Loaded carries and grip. J Strength Cond Res 17(1):202-208","Strongman, Functional Strength, Grip Sports","[TBD]","[TBD]","[TBD]"
"Dead Hang","Finger Flexors, Forearm Flexors","Shoulder Stabilizers, Lats","Isolation","Pull-Up Bar","Beginner","Upper","Pull","Bodyweight","1. Hang from bar 2. Full body weight 3. Squeeze bar hard 4. Hold for time 5. Relax shoulders","1. Static grip endurance 2. Decompression benefits 3. Shoulder health 4. Progress by adding weight 5. Time under tension","Saeterbakken AH et al. (2011). Grip training effects. J Strength Cond Res 25(6):1727-1735","Climbing, Calisthenics, Grip Endurance","[TBD]","[TBD]","[TBD]"
"Plate Pinch (Grip)","Thumb Adductor, Finger Flexors","Forearm Muscles","Isolation","Weight Plates","Intermediate","Upper","Static","Free Weight","1. Pinch smooth side of plates 2. Lift and hold 3. Squeeze hard 4. Hold for time 5. Repeat","1. Pinch grip emphasis 2. Thumb strength 3. Functional grip type 4. Progress with heavier plates 5. Time or reps","Trossman PB, Li PW (1989). Hand grip strength tests. Am J Occup Ther 43(6):372-376","Climbing, Strongman, Grip Specificity","[TBD]","[TBD]","[TBD]"
"Wrist Roller","Forearm Flexors and Extensors","Brachioradialis, Biceps (stabilization)","Compound","Wrist Roller Device","Intermediate","Upper","Push","Bodyweight","1. Hold roller at shoulder height 2. Roll weight up using wrists 3. Reverse to lower weight 4. Repeat for sets 5. Both directions","1. Both flexors and extensors 2. Endurance and strength 3. Eccentric component 4. Shoulders stabilize 5. Old-school effective tool","Boeckh-Behrens WU, Buskies W (2000). Forearm training methods. Rowohlt Taschenbuch Verlag","General Forearm Development, Endurance","[TBD]","[TBD]","[TBD]"
"Hammer Curl (Heavy - Grip Focus)","Brachioradialis, Brachialis","Biceps, Forearm Flexors and Extensors","Compound","Heavy Dumbbells","Intermediate","Upper","Pull","Free Weight","1. Stand with heavy dumbbells 2. Neutral grip maintained 3. Curl to shoulders 4. Squeeze throughout 5. Control descent","1. Functional grip strength 2. Brachioradialis emphasis 3. Neutral grip challenges forearms 4. Heavy loads beneficial 5. Carry-over to pulling","Marcolin G et al. (2018). EMG of arm exercises. Eur J Appl Physiol 118(2):371-380","Climbing, General Strength, Arm Development","[TBD]","[TBD]","[TBD]"
"Towel Pull-Ups","Finger Flexors, Forearm Flexors","Biceps, Lats, Traps","Compound","Towels, Pull-Up Bar","Advanced","Upper","Pull","Bodyweight","1. Drape towels over bar 2. Grip towel ends 3. Perform pull-ups 4. Squeeze towels hard 5. Control descent","1. Advanced grip challenge 2. Functional pulling grip 3. Sport-specific for climbing 4. Crush and support grip 5. Scaling: towel rows","Saeterbakken AH et al. (2011). Grip training variations. J Strength Cond Res 25(6):1727-1735","Climbing, MMA, Functional Grip","[TBD]","[TBD]","[TBD]"
"Reverse Barbell Curl (Grip Focus)","Brachioradialis, Extensor Carpi Radialis","Biceps, Forearm Extensors","Isolation","Barbell","Intermediate","Upper","Pull","Free Weight","1. Stand with pronated grip 2. Barbell at thighs 3. Curl to shoulders 4. Squeeze forearms 5. Lower with control","1. Brachioradialis primary mover 2. Extensor strength 3. Grip endurance 4. Lighter loads required 5. Avoid wrist movement","Boeckh-Behrens WU, Buskies W (2000). Upper arm exercise analysis. Rowohlt Taschenbuch Verlag","Arm Development, Grip Balance","[TBD]","[TBD]","[TBD]"
"Fat Gripz Training (Any Exercise)","All Forearm Muscles","Exercise-dependent","Compound","Fat Gripz or Thick Bar","Intermediate","Upper","Pull","Free Weight","1. Attach fat gripz to bar/dumbbell 2. Perform normal exercise 3. Squeeze hard throughout 4. Notice forearm fatigue 5. Reduce weight if needed","1. Increases grip demand 2. All pulling/curling exercises 3. Greater muscle activation 4. Reduce loads 10-20% 5. Neural grip adaptations","Krings BM et al. (2016). Fat bar training effects. J Strength Cond Res 30(6):1549-1553","General Strength, Grip Enhancement, Functional Training","[TBD]","[TBD]","[TBD]"
"Neck Flexion (Lying Plate)","Sternocleidomastoid, Scalenes","Longus Colli, Longus Capitis","Isolation","Weight Plate, Towel, Bench","Beginner","Upper","Pull","Free Weight","1. Lie supine on bench, head off 2. Plate on forehead (towel between) 3. Flex head to chest 4. Lower with control 5. Avoid jerking","1. Light loads initially 2. Full ROM in safe range 3. Progressive overload slowly 4. Towel for comfort 5. Control eccentric phase","Ylinen J et al. (2007). Neck muscle strengthening. J Rehabil Med 39(7):575-579","Wrestling, Football, Rugby, MMA","[TBD]","[TBD]","[TBD]"
"Neck Extension (Lying Plate)","Splenius Capitis, Splenius Cervicis, Upper Trapezius","Erector Spinae (cervical), Semispinalis","Isolation","Weight Plate, Towel, Bench","Beginner","Upper","Push","Free Weight","1. Lie prone on bench, head off 2. Plate on back of head (towel) 3. Extend head back 4. Lower with control 5. Safe ROM only","1. Balance with flexion work 2. Posterior neck strength 3. Light loads 4. Avoid hyperextension 5. Gradual progression","Ylinen J et al. (2007). Neck strength training protocols. J Rehabil Med 39(7):575-579","Contact Sports, Posture Correction","[TBD]","[TBD]","[TBD]"
"Neck Lateral Flexion (Lying)","Sternocleidomastoid, Scalenes (lateral)","Upper Trapezius, Levator Scapulae","Isolation","Weight Plate, Towel, Bench","Beginner","Upper","Pull","Free Weight","1. Lie on side on bench, head off 2. Plate on side of head 3. Lift head toward shoulder 4. Lower with control 5. Repeat both sides","1. Lateral neck strength 2. Balanced development 3. Light weight initially 4. Both sides equally 5. Controlled tempo","Ylinen J et al. (2007). Cervical muscle training. J Rehabil Med 39(7):575-579","Wrestling, Rugby, Combat Sports","[TBD]","[TBD]","[TBD]"
"Neck Bridge","Cervical Erector Spinae, Splenius Capitis","Upper Back Muscles, Trapezius","Compound","Bodyweight","Advanced","Upper","Static","Bodyweight","1. Lie on back, knees bent 2. Push hips up, weight on head 3. Rock gently forward/back 4. Hold for time 5. Lower gently","1. Advanced neck exercise 2. Start with short holds 3. Use mat/padding 4. Build up tolerance 5. Wrestling-specific","Simenz CJ et al. (2012). Neck training in athletes. Strength Cond J 34(6):17-25","Wrestling, Combat Sports (Advanced)","[TBD]","[TBD]","[TBD]"
"Neck Harness Extension","Splenius Capitis, Upper Trapezius, Cervical Erectors","Semispinalis Capitis","Isolation","Neck Harness, Weight Plate","Intermediate","Upper","Push","Free Weight","1. Attach weight to harness 2. Bend forward 45° 3. Extend neck upward 4. Control descent 5. Full ROM","1. Old-school neck training 2. Progressive loading 3. Full extension ROM 4. Avoid momentum 5. Compound neck strengthener","Simenz CJ et al. (2012). Neck strengthening for athletes. Strength Cond J 34(6):17-25","Football, Combat Sports, Strongman","[TBD]","[TBD]","[TBD]"
"Neck Isometric (4-Way)","All Neck Muscles (context-dependent)","Stabilizers","Isolation","Hand Resistance or Band","Beginner","Upper","Static","Bodyweight","1. Place hand against head 2. Push head against hand 3. Hand provides resistance 4. Hold contraction 5-10 sec 5. Repeat all 4 directions","1. Safe neck strengthening 2. No equipment needed 3. Isometric contractions 4. All planes of motion 5. Rehabilitation tool","Ylinen J et al. (2007). Isometric neck training. J Rehabil Med 39(7):575-579","Rehabilitation, Beginner Neck Training","[TBD]","[TBD]","[TBD]"
"Band Neck Flexion","Sternocleidomastoid, Scalenes","Longus Colli","Isolation","Resistance Band","Beginner","Upper","Pull","Cables","1. Anchor band behind head 2. Flex neck forward 3. Resist extension return 4. Control throughout 5. Appropriate tension","1. Constant tension benefit 2. Adjustable resistance 3. Safe for beginners 4. Both concentric and eccentric 5. Portable option","Ylinen J et al. (2007). Resistance band neck training. J Rehabil Med 39(7):575-579","General Fitness, Injury Prevention","[TBD]","[TBD]","[TBD]"
"Band Neck Extension","Splenius Capitis, Cervical Erectors","Upper Trapezius, Semispinalis","Isolation","Resistance Band","Beginner","Upper","Push","Cables","1. Anchor band in front 2. Extend neck backward 3. Resist flexion return 4. Control throughout 5. Full but safe ROM","1. Posterior neck development 2. Posture improvement 3. Balance anterior work 4. Safe progression tool 5. Rehabilitation application","Ylinen J et al. (2007). Neck exercise protocols. J Rehabil Med 39(7):575-579","Posture Correction, Desk Workers","[TBD]","[TBD]","[TBD]"
"Dead Hang with Neck Engagement","Sternocleidomastoid, Scalenes, Upper Traps","Cervical Stabilizers","Compound","Pull-Up Bar","Beginner","Upper","Static","Bodyweight","1. Hang from bar 2. Relax shoulders down 3. Allow neck stretch 4. Engage to lift head 5. Hold for time","1. Decompression benefit 2. Neck stabilizer engagement 3. Functional hang position 4. Stretch and strengthen 5. Gentle isometric","Saeterbakken AH et al. (2011). Hanging exercises. J Strength Cond Res 25(6):1727-1735","Climbing, General Health, Spinal Decompression","[TBD]","[TBD]","[TBD]"
"Wrestler's Bridge (Front and Back)","Full Neck Musculature","Upper Back, Core","Compound","Bodyweight","Advanced","Upper","Static","Bodyweight","1. Front: forehead on mat, arch body 2. Back: back of head on mat, arch 3. Rock gently 4. Hold positions 5. Progress slowly","1. Advanced wrestler's exercise 2. Extreme caution required 3. Build tolerance gradually 4. Not for beginners 5. Sport-specific to wrestling","Simenz CJ et al. (2012). Advanced neck training. Strength Cond J 34(6):17-25","Wrestling, Combat Sports (Expert Level)","[TBD]","[TBD]","[TBD]"
"Reverse Crunch","Rectus Abdominis (lower emphasis), External Obliques, Internal Obliques","Transverse Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris)","Compound","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent at 90° 2. Lift hips off floor, bring knees toward chest 3. Control posterior pelvic tilt 4. Lower slowly to start 5. Avoid momentum","1. Focus on pelvic tilt not leg swing 2. Exhale on lift phase 3. Keep lower back pressed to floor 4. Progress to straight-leg variation 5. Add ankle weights for resistance","Clark KM et al. (2003). EMG comparison of upper and lower rectus abdominis. J Strength Cond Res 17(3):475-483","American Football, Basketball, Soccer, Track & Field, Rugby","[TBD]","[TBD]","[TBD]"
"Full Reverse Crunch","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis, Hip Flexors, Serratus Anterior","Compound","Bodyweight or Mat","Advanced","Core","Pull","Bodyweight","1. Lie on back, legs extended 2. Lift legs and hips simultaneously 3. Bring knees to chest with pelvic curl 4. Hold peak contraction 5. Lower with control","1. Complete ROM from full extension 2. Posterior pelvic tilt crucial 3. Avoid neck strain 4. Slow eccentric (3 sec) 5. Exhale forcefully at top","Escamilla RF et al. (2006). EMG analysis of traditional and nontraditional ab exercises. Phys Ther 86(5):656-671","Gymnastics, Rugby, American Football, Basketball, Martial Arts","[TBD]","[TBD]","[TBD]"
"Lying Hip Thrust","Rectus Abdominis, Internal Obliques, External Obliques","Transverse Abdominis, Hip Flexors (Iliopsoas)","Compound","Bodyweight or Mat","Advanced","Core","Pull","Bodyweight","1. Lie flat, arms at sides for stability 2. Bend knees 90°, feet flat 3. Thrust hips toward ceiling 4. Squeeze abs at top 5. Lower slowly","1. Drive through posterior pelvic tilt 2. Minimal hip flexor engagement 3. Focus on ab contraction 4. Pause 2 sec at top 5. Progress to single-leg variation","Clark KM et al. (2003). EMG comparison of upper and lower rectus abdominis. J Strength Cond Res 17(3):475-483","American Football, Basketball, Soccer, Track & Field, Wrestling","[TBD]","[TBD]","[TBD]"
"Incline Reverse Crunch","Rectus Abdominis (lower emphasis), External Obliques","Transverse Abdominis, Serratus Anterior, Hip Flexors","Compound","Decline Bench","Advanced","Core","Pull","Bodyweight","1. Lie on decline bench, grip handles overhead 2. Knees bent, lift hips toward chest 3. Control posterior tilt 4. Lower slowly 5. Maintain grip throughout","1. Incline increases resistance 30-40% 2. Strict form prevents momentum 3. Exhale on lift phase 4. Keep shoulders anchored 5. Progress angle gradually","Escamilla RF et al. (2006). EMG analysis of ab exercises - incline variation shows highest activity. Phys Ther 86(5):656-671","Gymnastics, Diving, Rugby, Martial Arts, American Football","[TBD]","[TBD]","[TBD]"
"Incline Hip Thrust","Rectus Abdominis (lower emphasis), External Obliques","Transverse Abdominis, Hip Flexors, Serratus Anterior","Compound","Decline Bench","Advanced","Core","Pull","Bodyweight","1. Position on decline bench 2. Grip handles for stability 3. Thrust hips upward with ab contraction 4. Peak squeeze at top 5. Control descent","1. Enhanced difficulty from incline 2. Minimize hip flexor dominance 3. Focus on ab-driven movement 4. 2-sec hold at top 5. Progression: add ankle weights","Contreras B, Schoenfeld B (2014). Evidence-based examination of spinal flexion. Strength Cond J 36(4):8-18","Gymnastics, Rugby, Martial Arts, Wrestling, American Football","[TBD]","[TBD]","[TBD]"
"Reverse Medicine Ball Crunch","Rectus Abdominis (lower emphasis), External Obliques, Internal Obliques","Transverse Abdominis, Hip Flexors","Compound","Medicine Ball, Mat","Advanced","Core","Pull","Free Weights","1. Lie on back, hold medicine ball between knees 2. Bend knees 90° 3. Lift hips off floor, bring knees to chest 4. Squeeze medicine ball throughout 5. Lower with control","1. Added resistance from medicine ball 2. Adductor engagement for stability 3. Focus on controlled movement 4. Exhale on lift 5. Progress weight gradually","Escamilla RF et al. (2006). EMG analysis of ab exercises with external resistance. Phys Ther 86(5):656-671","American Football, Basketball, Rugby, Volleyball, Track & Field","[TBD]","[TBD]","[TBD]"
"Alternating Heel Touch","External Obliques, Internal Obliques","Rectus Abdominis, Transverse Abdominis","Isolation","Bodyweight or Mat","Beginner","Core","Pull","Bodyweight","1. Lie on back, knees bent, feet flat 2. Lift shoulders slightly off floor 3. Reach right hand to right heel 4. Return to center, repeat left side 5. Keep core engaged throughout","1. Lateral flexion focus 2. Controlled tempo (2 sec each side) 3. Minimal shoulder movement 4. Exhale on each reach 5. Keep lower back pressed down","McGill SM et al. (2003). Oblique muscle activation patterns. Med Sci Sports Exerc 35(1):228-235","Soccer, Tennis, Baseball, Hockey, Basketball","[TBD]","[TBD]","[TBD]"
"Bent-Knee Medicine Ball Hip Rotation","External Obliques, Internal Obliques, Transverse Abdominis","Rectus Abdominis, Hip Flexors","Compound","Medicine Ball, Mat","Advanced","Core","Rotational","Free Weights","1. Sit on floor, knees bent, lean back 45° 2. Hold medicine ball at chest 3. Rotate torso left, touch ball to floor 4. Rotate right, touch ball to floor 5. Keep core engaged, controlled movement","1. Anti-rotation core engagement 2. Full rotational ROM 3. Keep feet stable or lift for advanced 4. Exhale on rotation 5. Progress weight gradually","Saeterbakken AH et al. (2011). Trunk muscle activation in rotational exercises. J Strength Cond Res 25(2):316-322","Baseball, Tennis, Golf, Cricket, Hockey","[TBD]","[TBD]","[TBD]"
"Cable Chop","External Obliques, Internal Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Latissimus Dorsi","Compound","Cable Machine","Advanced","Core","Rotational","Cables","1. Set cable high, stand sideways to machine 2. Grab handle with both hands 3. Pull diagonally across body (high to low) 4. Rotate torso, engage obliques 5. Control return to start","1. Diagonal movement pattern 2. Anti-rotation stability crucial 3. Keep arms relatively straight 4. Exhale on chop motion 5. Both standing and half-kneeling variations","Santana JC et al. (2007). Core stability and rotational exercises. Strength Cond J 29(5):10-19","Baseball, Tennis, Golf, Hockey, Martial Arts","[TBD]","[TBD]","[TBD]"
"Cross Crunch","External Obliques, Internal Obliques","Rectus Abdominis, Transverse Abdominis, Hip Flexors","Compound","Bodyweight or Mat","Beginner","Core","Rotational","Bodyweight","1. Lie on back, hands behind head 2. Lift right knee toward chest 3. Rotate left elbow to right knee 4. Lower, repeat opposite side 5. Alternate sides smoothly","1. Focus on rotation not elbow-to-knee contact 2. Exhale on crunch 3. Keep lower back pressed down 4. Controlled tempo (2 sec up, 2 sec down) 5. Avoid pulling on neck","McGill SM et al. (2003). Rotational crunch EMG patterns. Med Sci Sports Exerc 35(1):228-235","Soccer, Basketball, Tennis, Volleyball, Track & Field","[TBD]","[TBD]","[TBD]"
"Cross Crunch w/ Medicine Ball","External Obliques, Internal Obliques","Rectus Abdominis, Transverse Abdominis, Deltoids","Compound","Medicine Ball, Mat","Advanced","Core","Rotational","Free Weights","1. Lie on back, hold medicine ball overhead 2. Lift right knee, rotate torso 3. Bring ball toward right knee 4. Lower with control, alternate sides 5. Keep core engaged throughout","1. Added resistance challenges rotation 2. Full ROM critical 3. Exhale on crunch 4. Control eccentric (3 sec) 5. Progress weight gradually","Vera-Garcia FJ et al. (2000). EMG of trunk muscles during weighted crunches. Med Sci Sports Exerc 32(8):1518-1522","American Football, Basketball, Rugby, Volleyball, Baseball","[TBD]","[TBD]","[TBD]"
"Decline Cross Sit-Up","External Obliques, Internal Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors","Compound","Decline Bench","Advanced","Core","Rotational","Bodyweight","1. Position on decline bench, feet secured 2. Lie back fully 3. Sit up while rotating torso to one side 4. Lower with control 5. Alternate rotation each rep","1. Decline increases difficulty 30-40% 2. Full sit-up ROM with rotation 3. Controlled movement prevents injury 4. Exhale on sit-up phase 5. Progress angle gradually","Escamilla RF et al. (2006). Decline ab exercises show increased EMG. Phys Ther 86(5):656-671","Martial Arts, Gymnastics, Rugby, Wrestling, Boxing","[TBD]","[TBD]","[TBD]"
"Decline Sit-Up w/ Twist","External Obliques, Internal Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Serratus Anterior","Compound","Decline Bench","Advanced","Core","Rotational","Bodyweight","1. Secure feet on decline bench 2. Lie back, hands behind head 3. Sit up and twist torso at top 4. Lower with control 5. Alternate twist direction each rep","1. Combines spinal flexion and rotation 2. Enhanced difficulty from decline 3. Focus on oblique contraction 4. Avoid excessive momentum 5. Progress by increasing angle","Andersson EA et al. (1997). EMG of trunk muscles in sit-up variations. Eur J Appl Physiol 75(3):271-276","Boxing, Martial Arts, Wrestling, Rugby, American Football","[TBD]","[TBD]","[TBD]"
"Reverse Cable Chop","External Obliques, Internal Obliques, Transverse Abdominis","Rectus Abdominis, Deltoids, Serratus Anterior","Compound","Cable Machine","Advanced","Core","Rotational","Cables","1. Set cable low, stand sideways 2. Grab handle with both hands 3. Pull diagonally upward (low to high) 4. Rotate torso, engage obliques 5. Control return to start","1. Opposite pattern to cable chop 2. Targets obliques from different angle 3. Anti-rotation stability key 4. Exhale on upward pull 5. Half-kneeling variation available","Santana JC et al. (2007). Rotational cable exercises for core. Strength Cond J 29(5):10-19","Baseball, Tennis, Golf, Volleyball, Basketball","[TBD]","[TBD]","[TBD]"
"Seated Medicine Ball Twist","External Obliques, Internal Obliques, Transverse Abdominis","Rectus Abdominis, Erector Spinae","Compound","Medicine Ball, Mat","Advanced","Core","Rotational","Free Weights","1. Sit on floor, knees bent, lean back 45° 2. Hold medicine ball at chest level 3. Rotate torso fully to left, touch ball to floor 4. Rotate fully to right, touch ball to floor 5. Maintain lean-back position throughout","1. Seated position isolates obliques 2. Full rotational ROM both directions 3. Keep core engaged continuously 4. Exhale on each rotation 5. Lift feet for advanced progression","Saeterbakken AH et al. (2011). Seated rotational exercises EMG. J Strength Cond Res 25(2):316-322","Baseball, Tennis, Golf, Cricket, Hockey","[TBD]","[TBD]","[TBD]"
"Trunk Rotator","External Obliques, Internal Obliques","Erector Spinae, Transverse Abdominis","Isolation","Bodyweight or Mat","Advanced","Core","Rotational","Bodyweight","1. Lie on back, arms out to sides for stability 2. Bend knees 90°, feet off floor 3. Lower knees to one side, keep shoulders down 4. Return to center 5. Lower to opposite side","1. Pure rotational movement 2. Keep shoulders anchored 3. Control descent (3 sec) 4. Exhale on rotation 5. Progress to straight-leg variation","McGill SM (2001). Low back exercises: evidence for prescription. J Orthop Sports Phys Ther 31(10):587-596","Golf, Tennis, Baseball, Hockey, Martial Arts","[TBD]","[TBD]","[TBD]"
"Front Plank (from knees)","Transverse Abdominis, Rectus Abdominis","External Obliques, Erector Spinae, Multifidus","Compound","Bodyweight or Mat","Beginner","Core","Static","Bodyweight","1. Position on forearms and knees 2. Maintain straight line from head to knees 3. Engage core, avoid sagging hips 4. Hold 20-60 seconds 5. Breathe normally throughout","1. Regression for beginners 2. Proper alignment crucial 3. Build to 60-sec holds 4. Progress to toes when ready 5. Focus on quality over duration","Schoenfeld BJ et al. (2014). Core stability exercises EMG. J Strength Cond Res 28(11):3298-3305","General Fitness, Rehabilitation, Beginner Training","[TBD]","[TBD]","[TBD]"
"Front Plank (from toes)","Transverse Abdominis, Rectus Abdominis, Erector Spinae","External Obliques, Multifidus, Deltoids, Quadriceps","Compound","Bodyweight or Mat","Intermediate","Core","Static","Bodyweight","1. Position on forearms and toes 2. Maintain straight line from head to heels 3. Engage core, neutral spine 4. Hold 30-90 seconds 5. Breathe normally","1. Standard plank position 2. Avoid pike or sag 3. Shoulders over elbows 4. Build to 90-sec holds 5. Progress to single-limb variations","McGill SM et al. (2003). Plank exercise for core stability. Med Sci Sports Exerc 35(1):228-235","All Sports, General Fitness, Injury Prevention","[TBD]","[TBD]","[TBD]"
"Front Plank (tripod - 1 arm and 2 legs or 2 arms and 1 leg)","Transverse Abdominis, Rectus Abdominis, Erector Spinae, Multifidus","External Obliques, Internal Obliques, Deltoids, Gluteus Medius, Quadratus Lumborum","Compound","Bodyweight or Mat","Advanced","Core","Static","Bodyweight","1. Start in standard front plank 2. Lift one arm or one leg off floor 3. Maintain level hips, no rotation 4. Hold 15-45 seconds 5. Switch sides","1. Anti-rotation challenge 2. Enhanced oblique engagement 3. Focus on stability not duration 4. Keep hips level and square 5. Progress slowly from standard plank","Schoenfeld BJ et al. (2014). Single-limb plank variations EMG. J Strength Cond Res 28(11):3298-3305","All Sports (Advanced), Functional Training, Stability","[TBD]","[TBD]","[TBD]"
"Side-Plank (from knees)","External Obliques, Internal Obliques, Quadratus Lumborum","Transverse Abdominis, Gluteus Medius, Deltoids","Compound","Bodyweight or Mat","Intermediate","Core","Static","Bodyweight","1. Position on side, forearm and knees 2. Lift hips to create straight line 3. Stack knees, top arm on hip or extended 4. Hold 20-60 seconds per side 5. Avoid hip drop","1. Lateral core stability 2. Regression from full side plank 3. Build to 60-sec holds 4. Progress to feet when ready 5. Keep body aligned","Ekstrom RA et al. (2007). Side plank for core and hip stability. J Orthop Sports Phys Ther 37(5):242-252","General Fitness, Rehabilitation, Running","[TBD]","[TBD]","[TBD]"
"Side-Plank (from toes)","External Obliques, Internal Obliques, Quadratus Lumborum, Gluteus Medius","Rectus Abdominis, Gluteus Maximus, Latissimus Dorsi, Scapular Stabilizers, Erector Spinae, Hip Adductors","Compound","Bodyweight or Mat","Advanced","Core","Static","Bodyweight","1. Lie on side, stack feet 2. Lift body on forearm and feet 3. Maintain straight line head to heels 4. Hold 30-60 seconds per side 5. Keep hips elevated","1. Full side plank progression 2. Avoid hip sag or pike 3. Engage lateral core maximally 4. Build endurance gradually 5. Add hip lifts for dynamic variation","Kinney AL et al. (2020). EMG of obliques during isometric tasks. J Sport Rehabil 29(5):677-685","Rugby, American Football, Swimming, Tennis, Martial Arts","[TBD]","[TBD]","[TBD]"
"Side-Plank (hip lift)","Gluteus Medius, Quadratus Lumborum, External Obliques, Internal Obliques","Gluteus Maximus, Tensor Fasciae Latae, Latissimus Dorsi, Serratus Anterior, Erector Spinae, Multifidus","Compound","Bodyweight or Mat","Advanced","Core","Static","Bodyweight","1. Start in side plank position 2. Lower hip toward floor 3. Lift hip back up to straight line 4. Repeat for reps 5. Switch sides","1. Dynamic side plank variation 2. Focus on controlled hip movement 3. Gluteus medius 103% MVIC activation 4. Prevents hip drop during running 5. Excellent for frontal plane stability","Ekstrom RA et al. (2007). EMG analysis of core, hip, and thigh muscles. J Orthop Sports Phys Ther 37(12):754-762","Running, Soccer, Basketball, Tennis, Golf","[TBD]","[TBD]","[TBD]"
"Ab Cycle (Bicycle Crunch)","Rectus Abdominis, External Obliques, Internal Obliques","Transverse Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris)","Compound","Bodyweight or Mat","Intermediate","Core","Rotational","Bodyweight","1. Lie on back, hands behind head 2. Lift shoulders, bring right knee to chest 3. Rotate left elbow toward right knee 4. Switch sides in cycling motion 5. Keep core engaged throughout","1. Highest EMG among common ab exercises 2. Continuous alternating rotation 3. Avoid pulling on neck 4. Exhale on each twist 5. Controlled tempo for quality","Francis P (2001). ACE Study on ab exercises. San Diego State University EMG Study","Baseball, Golf, Tennis, Boxing, Ice Hockey","[TBD]","[TBD]","[TBD]"
"Kneeling Ab Rollout","Rectus Abdominis, Transverse Abdominis, External Obliques, Internal Obliques","Latissimus Dorsi, Anterior Deltoid, Triceps Brachii, Erector Spinae, Gluteus Maximus","Compound","Ab Wheel or Barbell","Advanced","Core","Pull","Free Weights","1. Kneel on mat, grip ab wheel/barbell 2. Roll forward extending arms 3. Maintain neutral spine, avoid sagging 4. Pull back to start using core 5. Control throughout movement","1. Advanced anti-extension exercise 2. Isometric/eccentric core control 3. Avoid lumbar hyperextension 4. Build up ROM gradually 5. Progress to standing rollout","Escamilla RF et al. (2010). Core activation during Swiss ball exercises. J Orthop Sports Phys Ther 40(5):265-276","Gymnastics, Weightlifting, Swimming, American Football, Rugby","[TBD]","[TBD]","[TBD]"
"Medicine Ball V-Up","Rectus Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris), Anterior Deltoid","External Obliques, Internal Obliques, Transverse Abdominis, Latissimus Dorsi, Pectoralis Major, Rotator Cuff","Compound","Medicine Ball, Mat","Advanced","Core","Pull","Free Weights","1. Lie flat, hold medicine ball overhead 2. Simultaneously lift legs and torso 3. Touch medicine ball to feet at top 4. Lower with control 5. Keep arms and legs straight","1. Weighted V-Up variation 2. External load increases activation 3. Explosive core-to-limb transfer 4. Control eccentric (3 sec) 5. Progress weight gradually","Saeterbakken AH et al. (2013). External load increases muscle activation. J Strength Cond Res 27(7):1831-1837","Baseball, Javelin, Wrestling, Tennis, Golf","[TBD]","[TBD]","[TBD]"
"V-Up","Rectus Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris, TFL, Sartorius)","External Obliques, Internal Obliques, Transverse Abdominis, Hip Adductors","Compound","Bodyweight or Mat","Advanced","Core","Pull","Bodyweight","1. Lie flat, arms extended overhead 2. Simultaneously lift legs and torso 3. Reach hands toward toes 4. Lower with control to start 5. Keep legs and arms straight","1. Advanced compound ab movement 2. Simultaneous hip and trunk flexion 3. Control tempo (2 sec up, 3 sec down) 4. Exhale forcefully at top 5. Avoid momentum","Andersson EA et al. (1997). Abdominal and hip flexor activation. Ergonomics 40(12):1218-1230","Gymnastics, Diving, Swimming, Martial Arts, Track & Field","[TBD]","[TBD]","[TBD]"
"Weighted V-Up","Rectus Abdominis, Hip Flexors (Iliopsoas, Rectus Femoris), Anterior Deltoid","External Obliques, Internal Obliques, Transverse Abdominis, Latissimus Dorsi, Pectoralis Major, Rotator Cuff","Compound","Dumbbell or Medicine Ball, Mat","Advanced","Core","Pull","Free Weights","1. Lie flat, hold weight overhead 2. Perform V-Up movement with resistance 3. Control weight throughout ROM 4. Lower slowly to start 5. Maintain straight arms and legs","1. Progressive overload for V-Up 2. Increased stabilization demand 3. Explosive movement under load 4. Start with light weight (2.5-5kg) 5. Focus on form over weight","Willardson JM (2007). Core stability training applications. J Strength Cond Res 21(3):979-985","Shot Put, Discus, Wrestling, American Football, MMA","[TBD]","[TBD]","[TBD]"
